"구분","","2019
년","2020
년","2021
년","2022
년","2023
년","1~11
월 누계
)",""
"","","","","","","","2023
년","2024
년"
"주택
매매","전국
수도권
서울 
지방
 
지방광역시
 
도지역","△
0.4%
0.5%
1.2%
△
1.1%
0.5%
△
2.1%","5.4%
6.5%
2.7%
4.3%
6.6%
2.3%","9.9%
12.8%
6.5%
7.4%
9.3%
6.3%","△
4.7%
△
6.5%
△
4.8%
△
3.0%
△
5.8%
△
1.1%","△3.6%
△3.6%
△2.0%
△3.5%
△5.7%
△2.1%","△3.5%
△3.5%
△2.0%
△3.4%
△5.5%
△2.2%","0.2%
1.4%
3.1%
△0.9%
△1.8%
△0.2%"
"아파트
매매","전국
수도권
서울 
지방
 
지방광역시
 
도지역","△
1.4%
0.0%
1.1%
△
2.7%
△
0.3%
△
4.7%","7.6%
9.1%
3.0%
6.2%
8.4%
3.3%","14.1%
18.0%
8.0%
10.6%
11.8%
10.0%","△
7.6%
△
9.7%
△
7.7%
△
5.5%
△
8.1%
△
3.0%","△4.8%
△4.6%
△2.2%
△5.0%
△7.0%
△3.4%","△4.7%
△4.5%
△2.2%
△4.9%
△6.8%
△3.4%","0.2%
2.0%
4.6%
△1.5%
△2.3%
△0.6%"
