"구 분","2019
년","2020
년","2021
년","2022
년","2023
년","","2024","","e)
2025
년"
"","","","","","1
10～
월","연간","1
10～
월","연간e)",""
"인허가","488","458","545","522","302","429","245","350","330"
"착공","479","526","584","383","163","242","218","260","300"
"분양","314","349","337","288","142","192","182","230","250"
"준공","518","471","431","414","347","436","362","440","332"
