"지역별","수도권","","","","","비수도권","","","",""
"","서울","경기·인천","","","","광역·자치시","","","8개  도",""
"","50","108","","","","52","","","60",""
"유형별","정비사업","","","공공  택지","","","","기타  사업","",""
"","52","","","88","","","","130","",""
"연도별","2023년  2024년  2025년  2026년  2027년","","","","","","","","",""
"","47","","54","","56","","56","","","57"
