"단지  명","사업  명","시공사","","가구수  공사비  변동(만  원)","진행  현황"
"이촌르웰","이촌현대  리모델링","롯데건설","750","542→926","• 공사 중단 예고"
"장위자이레디언트","장위4구역  재개발","GS건설","2,840","516→550","• 공사 중단 예고"
"강서센트럴아이파크","","방화6구역  재개발  현대산업개발","557","727→758","• 도급 계약 해지안 가결"
"남한산성  자이아이파크","은행주공  재건축","GS건설","3,198","445→659","• 도급 계약 해지(2025.4) 
• 시공사 선정 재공고(2025.8)"
"힐스테이트푸르지오 
사하역  포레스","괴정5구역  재개발","포스크이앤씨, 
롯데건설","3,509","471→649","• 도급 계약 해지(2025.8) 
• 시공사 재선정(2025.9)"
