"단지  명","준공 
연도","현재 
가구수","재건축   
가구수","추진 
단계"
"가락프라자","1985년","672","1,305","사업시행
인가"
"가락미륭","1986년","435","614","사업시행
인가"
"가락1차 
현대","1984년","514","842","조합설립
인가"
"삼환가락","1984년","648","1,101","사업시행
인가"
"가락극동","1984년","555","975","조합설립
인가"
